City 1,City 2,Heuristic
Nagpur,Hyderabad,476
Nasik,Hyderabad,754
Panjim,Hyderabad,676
Patna,Hyderabad,1469
Pondicherry,Hyderabad,865
Pune,Hyderabad,545
Ranchi,Hyderabad,1434
Shillong,Hyderabad,1309
Shimla,Hyderabad,1693
Surat,Hyderabad,957
Trivandrum,Hyderabad,1259
Varanasi,Hyderabad,1189
Vijayawada,Hyderabad,269
Vishakapatnam,Hyderabad,599
Agartala,Imphal,3215
Agra,Imphal,2419
Ahmedabad,Imphal,3073
Allahabad,Imphal,1936
Amritsar,Imphal,2979
Asansol,Imphal,1929
Bangalore,Imphal,3131
Baroda,Imphal,3116
Bhopal,Imphal,2550
Bhubaneshwar,Imphal,2139
Bombay,Imphal,3275
Calcutta,Imphal,1717
Calicut,Imphal,3267
Chandigarh,Imphal,2782
Cochin,Imphal,3489
Coimbatore,Imphal,3303
Delhi,Imphal,2534
Gwalior,Imphal,2343
Hubli,Imphal,2881
Hyderabad,Imphal,3003
Indore,Imphal,2739
Jabalpur,Imphal,2270
Jaipur,Imphal,2646
Jamshedpur,Imphal,1985
Jullundur,Imphal,2909
Kanpur,Imphal,2129
Kolhapur,Imphal,2945
Lucknow,Imphal,2100
Ludhiana,Imphal,2844
Madras,Imphal,2877
Madurai,Imphal,3346
Meerut,Imphal,2468
Nagpur,Imphal,2527
Nasik,Imphal,3091
Panjim,Imphal,2691
Patna,Imphal,1534
Pondicherry,Imphal,3013
Pune,Imphal,3192
Ranchi,Imphal,1836
Shillong,Imphal,2553
Shimla,Imphal,2759
Surat,Imphal,3276
